City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hithadhoo,-0.6,73.0833,84.27,79,87,11.63,MV,1715119758
84,tura,25.5198,90.2201,70.99,79,100,3.96,IN,1715119758
85,pariaman,-0.619,100.12,78.85,93,100,8.63,ID,1715119758
86,badger,64.8,-147.5333,52.05,53,75,3.0,US,1715119758
87,awjilah,29.1081,21.2869,75.9,22,64,8.5,LY,1715119758
88,alice springs,-23.7,133.8833,53.15,82,89,0.0,AU,1715119758
89,ribeira grande,38.5167,-28.7,66.6,88,75,15.01,PT,1715119758
90,hirara,24.8,125.2833,76.46,66,9,14.25,JP,1715119758
91,raja,8.4596,25.678,85.08,29,53,2.64,SS,1715119758
92,yetkul',54.8221,61.588,46.04,55,74,13.53,RU,1715119758
93,utrik,11.2278,169.8474,82.36,73,100,18.3,MH,1715119759
94,nova vicosa,-17.8919,-39.3719,77.61,83,0,5.35,BR,1715119759
95,amga,60.8953,131.9608,42.62,76,100,6.96,RU,1715119759
96,alofi,-19.0595,-169.9187,80.49,94,100,8.05,NU,1715119759
97,sao gabriel da cachoeira,-0.1303,-67.0892,79.63,90,69,1.9,BR,1715119759
98,ad dabbah,18.05,30.95,79.77,15,2,11.36,SD,1715119759
99,yellowknife,62.456,-114.3525,54.12,78,100,16.11,CA,1715119591
100,vila velha,-20.3297,-40.2925,76.95,88,0,4.61,BR,1715119690
101,neftegorsk,52.802,51.166,62.38,49,24,18.12,RU,1715119759
102,ta`u,-14.2336,-169.5144,84.16,81,88,11.03,AS,1715119759
103,cill airne,52.05,-9.5167,51.84,87,100,3.09,IE,1715119759
104,port lincoln,-34.7333,135.8667,59.16,86,86,10.49,AU,1715119760
105,palikir - national government center,6.9248,158.1611,85.05,79,75,11.5,FM,1715119760
106,novobod,39.0108,70.1508,52.39,41,48,6.85,TJ,1715119760
107,belmonte,-15.8631,-38.8828,77.85,84,17,6.22,BR,1715119760
108,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,78,100,8.01,RU,1715119600
109,port augusta,-32.5,137.7667,57.79,59,80,4.76,AU,1715119760
110,minab,27.1467,57.0801,86.61,38,0,3.29,IR,1715119760
111,west island,-12.1568,96.8225,80.58,78,1,11.5,CC,1715119760
112,aketi,2.7388,23.7833,81.07,61,98,1.92,CD,1715119760
113,kingston,17.997,-76.7936,86.16,74,40,13.8,JM,1715119518
114,peniche,39.3558,-9.3811,62.29,84,100,11.03,PT,1715119761
115,parchim,53.4263,11.8488,40.26,91,100,6.87,DE,1715119761
116,chonchi,-42.6128,-73.8092,45.61,91,16,2.8,CL,1715119761
117,cockburn town,21.4612,-71.1419,76.91,80,99,18.59,TC,1715119697
118,codrington,-38.2667,141.9667,48.69,94,24,7.16,AU,1715119761
119,mermoz boabab,14.7065,-17.4758,75.76,85,0,14.32,SN,1715119761
120,chukhloma,58.7525,42.6825,36.09,68,100,10.0,RU,1715119761
121,nha trang,12.25,109.1833,80.6,91,86,5.23,VN,1715119761
122,port mathurin,-19.6833,63.4167,78.46,61,43,24.07,MU,1715119761
123,mejit,10.2753,170.8646,81.79,79,81,18.72,MH,1715119761
124,nema,57.5067,50.5011,34.14,99,100,14.67,RU,1715119761
125,taoudenni,22.6783,-3.9836,90.86,6,24,2.13,ML,1715119762
126,araguaina,-7.1911,-48.2072,78.8,60,100,3.8,BR,1715119537
127,longyearbyen,78.2186,15.6401,35.44,69,75,9.22,SJ,1715119762
128,xiantao,30.3833,113.4,67.06,74,100,5.77,CN,1715119762
129,shenjiamen,29.9576,122.298,61.97,79,3,6.93,CN,1715119762
130,cannonvale,-20.2833,148.7,72.79,79,48,17.78,AU,1715119762
131,arkhangel'sk,64.5401,40.5433,28.13,80,20,6.71,RU,1715119762
132,judenburg,47.1667,14.6667,48.24,98,100,3.47,AT,1715119762
133,saint-philippe,-21.3585,55.7679,72.99,71,39,16.13,RE,1715119763
134,margaret river,-33.95,115.0667,58.53,71,46,11.39,AU,1715119763
135,san patricio,28.017,-97.5169,89.17,66,83,12.59,US,1715119763
136,puerto deseado,-47.7503,-65.8938,38.77,95,100,15.5,AR,1715119763
137,chenaran,36.6455,59.1212,66.45,45,76,1.36,IR,1715119763
138,dudinka,69.4058,86.1778,5.68,100,94,5.01,RU,1715119763
139,ironwood,46.4547,-90.171,55.74,82,100,10.36,US,1715119763
140,olonkinbyen,70.9221,-8.7187,32.5,93,8,16.31,SJ,1715119763
141,sisimiut,66.9395,-53.6735,26.55,80,100,2.8,GL,1715119764
142,ikalamavony,-21.15,46.5833,64.33,78,51,9.24,MG,1715119764
143,felipe carrillo puerto,19.5833,-88.05,97.12,34,0,8.66,MX,1715119581
144,hermanus,-34.4187,19.2345,57.79,83,99,8.95,ZA,1715119764
145,karratha,-20.7377,116.8463,74.77,69,0,2.46,AU,1715119764
146,olyokminsk,60.3736,120.4264,37.89,81,79,9.95,RU,1715119764
147,arraial do cabo,-22.9661,-42.0278,76.96,83,0,13.8,BR,1715119590
148,vanimo,-2.6741,141.3028,78.12,93,100,3.62,PG,1715119764
149,ushuaia,-54.8,-68.3,28.92,92,46,5.41,AR,1715119764
150,cidreira,-30.1811,-50.2056,72.75,86,28,8.59,BR,1715119764
151,al fulah,11.7329,28.3579,84.88,13,61,11.39,SD,1715119764
152,hassi messaoud,31.6804,6.0729,82.0,24,94,13.51,DZ,1715119765
153,ancud,-41.8697,-73.8203,45.61,74,21,8.52,CL,1715119765
154,kani keli,-12.9536,45.1033,81.66,73,20,18.52,YT,1715119765
155,pont rouge,48.8833,-72.0825,44.76,59,78,12.24,CA,1715119765
156,fada,9.5667,8.3,73.78,79,100,2.3,NG,1715119765
157,berwick-upon-tweed,55.7833,-2.0,49.42,87,100,7.65,GB,1715119630
158,murzuq,25.9155,13.9184,84.69,19,85,8.63,LY,1715119765
159,bardai,11.65,7.2333,83.61,44,99,7.92,NG,1715119765
160,kalmunai,7.4167,81.8167,80.53,86,85,7.61,LK,1715119765
161,mukalla,14.5425,49.1242,83.79,77,1,6.71,YE,1715119757
162,chauk,20.8833,94.8167,82.62,54,51,4.88,MM,1715119766
163,valparaiso,-33.0393,-71.6273,46.04,93,75,11.5,CL,1715119681
164,ar rahad,12.7167,30.65,85.05,13,62,14.0,SD,1715119766
165,kem',64.9555,34.5793,21.33,90,75,9.31,RU,1715119766
166,nova sintra,14.8667,-24.7167,74.84,74,3,16.28,CV,1715119766
167,mangrol,21.1167,70.1167,81.05,86,0,15.1,IN,1715119758
168,mek'ele,13.4967,39.4753,66.22,68,84,7.83,ET,1715119766
169,port macquarie,-31.4333,152.9167,59.9,67,49,4.61,AU,1715119766
170,florence,43.7667,11.25,58.1,94,75,1.14,IT,1715119700
171,cururupu,-1.8283,-44.8683,76.55,91,71,1.99,BR,1715119609
172,naze,28.3667,129.4833,66.52,67,47,5.5,JP,1715119767
173,dokshytsy,54.8924,27.7689,34.43,63,2,7.2,BY,1715119767
174,el granada,37.5027,-122.4694,74.8,65,0,17.27,US,1715119767
175,weno,7.4515,151.8468,76.95,100,100,8.05,FM,1715119767
176,uturoa,-16.7333,-151.4333,82.11,75,66,19.04,PF,1715119767
177,maceio,-9.6658,-35.7353,76.44,94,75,2.3,BR,1715119520
178,chinchilla,-26.75,150.6333,64.02,78,18,4.0,AU,1715119767
179,sandnessjoen,66.0217,12.6316,46.92,69,93,18.7,NO,1715119767
180,vernon,50.2581,-119.2691,62.76,31,97,5.01,CA,1715119767
181,yamada,39.4667,141.95,51.31,89,91,4.97,JP,1715119768
182,tsiombe,-25.3,45.4833,68.74,86,0,6.91,MG,1715119768
183,fortuna,40.5982,-124.1573,59.94,66,0,20.71,US,1715119768
184,dryden,49.7833,-92.7503,59.43,57,100,12.3,CA,1715119768
185,port saint john's,-31.6229,29.5448,74.21,48,0,7.02,ZA,1715119768
186,trincomalee,8.5711,81.2335,84.79,75,77,5.55,LK,1715119768
187,sao jose da coroa grande,-8.8978,-35.1478,80.62,81,54,8.93,BR,1715119597
188,kargasok,59.0556,80.8572,46.96,68,100,11.01,RU,1715119768
189,kuala terengganu,5.3302,103.1408,78.93,84,54,2.64,MY,1715119768
190,omutinskiy,56.4745,67.6709,38.88,70,97,5.21,RU,1715119768
191,khandyga,62.6667,135.6,41.85,75,100,4.94,RU,1715119768
192,saipan,15.1355,145.701,86.7,66,40,11.5,MP,1715119769
193,mwinilunga,-11.7358,24.4293,66.2,76,69,2.01,ZM,1715119769
194,jiuquan,39.7432,98.5174,60.73,18,21,7.38,CN,1715119769
195,rancho palos verdes,33.7445,-118.387,77.94,75,0,11.99,US,1715119478
196,keetmanshoop,-26.5833,18.1333,62.69,43,5,10.4,NA,1715119769
197,namibe,-15.1961,12.1522,74.3,64,2,7.54,AO,1715119769
198,port elizabeth,-33.918,25.5701,68.09,92,99,8.01,ZA,1715119769
199,frutal,-20.0247,-48.9406,78.78,53,7,5.21,BR,1715119769
200,dergachi,51.2328,48.7659,58.3,35,56,15.66,RU,1715119769
201,vadso,70.0744,29.7487,28.56,86,75,8.05,NO,1715119770
202,brookings,44.3114,-96.7984,61.38,58,100,19.57,US,1715119648
203,jamestown,42.097,-79.2353,75.52,46,40,10.36,US,1715119524
204,st. john's,47.5649,-52.7093,50.27,91,75,3.44,CA,1715119472
205,al lagowa,11.4,29.1333,88.16,12,43,11.3,SD,1715119770
206,inirida,3.8653,-67.9239,81.57,90,73,0.25,CO,1715119770
207,poyarkovo,49.6,128.6833,60.17,32,92,10.78,RU,1715119770
208,tommot,58.9564,126.2925,37.81,100,100,0.58,RU,1715119770
209,qa'en,33.7265,59.1844,66.33,53,6,1.43,IR,1715119770
210,alappuzha,9.49,76.3264,84.07,79,63,7.92,IN,1715119771
211,atafu village,-8.5421,-172.5159,84.52,77,97,11.61,TK,1715119771
212,sarikei,2.1167,111.5167,75.42,100,100,0.31,MY,1715119771
213,carutapera,-1.195,-46.02,77.52,94,68,5.66,BR,1715119771
214,six-fours-les-plages,43.0938,5.84,59.18,66,4,1.99,FR,1715119771
215,iskateley,67.6803,53.1512,17.02,95,100,10.0,RU,1715119771
216,"kampung bukit tinggi, bentong",3.35,101.8167,75.78,94,97,2.26,MY,1715119771
217,lebu,-37.6167,-73.65,48.25,72,6,4.85,CL,1715119771
218,udachny,66.4167,112.4,31.44,98,96,18.32,RU,1715119771
219,wuzhou,23.4833,111.3167,72.19,96,100,2.68,CN,1715119771
220,shiguai,40.7058,110.2856,58.42,24,2,4.97,CN,1715119772
221,fumel,44.4986,0.9651,54.59,93,0,4.85,FR,1715119772
222,selkirk,50.1436,-96.8845,60.04,78,100,11.01,CA,1715119772
223,zhezqazghan,47.7833,67.7667,55.63,56,10,11.43,KZ,1715119772
224,vilyuchinsk,52.9306,158.4028,35.87,82,100,7.23,RU,1715119772
225,nar'yan-mar,67.6713,53.087,17.11,95,100,10.0,RU,1715119772
226,severo-yeniseyskiy,60.3725,93.0408,26.58,96,100,4.0,RU,1715119772
227,touros,-5.1989,-35.4608,78.53,84,78,8.95,BR,1715119559
228,axim,4.8699,-2.2405,81.95,82,46,8.19,GH,1715119772
229,kill devil hills,36.0307,-75.676,78.82,68,40,6.91,US,1715119702
230,thinadhoo,0.5333,72.9333,84.99,78,26,14.18,MV,1715119773
231,inderbor,48.55,51.7833,57.52,69,100,10.42,KZ,1715119773
232,lerwick,60.1545,-1.1494,42.8,79,22,0.92,GB,1715119773
233,kastsyukovichy,53.3516,32.0506,34.16,81,1,6.69,BY,1715119773
234,al jawf,29.5,38.75,66.07,29,0,4.88,SA,1715119773
235,khorugh,37.4897,71.553,41.22,54,2,2.13,TJ,1715119773
236,tabuk,17.4189,121.4443,74.28,87,26,1.99,PH,1715119773
237,magadan,59.5667,150.8,31.53,98,98,7.27,RU,1715119773
238,aktau,43.65,51.2,55.98,91,83,26.17,KZ,1715119773
239,skelleftea,64.7507,20.9528,25.16,89,15,2.3,SE,1715119774
240,afaahiti,-17.75,-149.2833,82.27,76,76,14.85,PF,1715119774
241,vorgashor,67.5833,63.95,-2.2,100,73,5.03,RU,1715119774
242,el nido,11.1858,119.3956,81.91,78,48,4.05,PH,1715119674
243,kruisfontein,-34.0033,24.7314,65.88,93,100,11.25,ZA,1715119774
244,sitka,57.0531,-135.33,48.09,66,100,13.8,US,1715119500
245,muromtsevo,56.3724,75.2418,40.21,93,13,5.93,RU,1715119774
246,whitecourt,54.1502,-115.6855,54.5,34,100,14.12,CA,1715119774
247,sarh,9.1429,18.3923,89.65,27,93,1.83,TD,1715119774
248,lazaro cardenas,17.9583,-102.2,83.64,53,99,14.25,MX,1715119589
249,jarvenpaa,60.4737,25.0899,38.75,64,0,9.22,FI,1715119574
250,punta arenas,-53.15,-70.9167,37.51,87,100,8.05,CL,1715119579
251,lucapa,-8.4192,20.7447,72.55,57,100,2.1,AO,1715119775
